"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9102","navigate to form page @smoke @regression","chromium","Mon Mar 10 18:54:12 EET 2025","passed","Mon Mar 10 18:54:21 EET 2025","","tests/usePageObjects.spec.ts","",""
"","9449","paramethrized methods @smoke","chromium","Mon Mar 10 18:54:12 EET 2025","passed","Mon Mar 10 18:54:21 EET 2025","","tests/usePageObjects.spec.ts","",""
